contractor_name,license_number,specialty,permit_count,total_project_value
FACILITIES MAINT MNGMNT LLC,FACILMM771DA,General Contractor,2,488019
FDC CONSTRUCTION LLC,FDCCOCL825QA,Single Family/Duplex,2,248667
FELICITY CONSTRUCTION LLC,FELICCL786PS,General Contractor,2,8000
FIX ALL CONSTRUCTION LLC,FIXALAC837D8,General Contractor,2,40000
FORSYTH BUILDERS,FORSYB*846PM,General Contractor,2,796890
Fabian Quiroga,GREENBN861QE,Single Family/Duplex,2,4000
G M G CONSTRUCTION INC,GMGCOI*981JB,General Contractor,2,455000
GALUS & GALUS,GALUSG*088QP,General Contractor,2,260800
GIAMMARCO BONFATTI LLC,GIAMMBL763KW,General Contractor,2,1195993
GMD CUSTOM,GMDCUC*911DW,General Contractor,2,750000
GMV CONSTRUCTION LLC,GMVCOCL850JC,General Contractor,2,250000
GOLDFINCH BROS INC,GOLDFB*346L0,General Contractor,2,65000
GRADUATE CONSTRUCTION LLC,GRADUCL902PE,General Contractor,2,117570
GROUNDWORK PROPERTIES INC,GROUNPI844M5,General Contractor,2,360000
GT BUILDERS,GTBUIB*757J1,General Contractor,2,3253914
GUARDIAN CONSTRUCTION LLC,GUARDCL900KS,General Contractor,2,250216
Goedecke Builders,,Single Family/Duplex,2,981620
H A J CONSTRUCTION INC,HAJCOI*085D3,General Contractor,2,500000
HAJRO DEDIC CONTRACTOR,HAJRODC992QB,General Contractor,2,220286
HALFON CONSTRUCTION CO INC,HALFOCC033CK,General Contractor,2,571915
HAUS MAUS LLC,HAUSMML772NN,General Contractor,2,453470
"HAVEN CARPENTRY, LLC",HAVENCL757KZ,General Contractor,2,81207
HAZEL POINT COMPANY,HAZELPC879BS,General Contractor,2,46520
HD SEATTLE,HDSEAS*762QG,General Contractor,2,63000
HEDLUND BUILDERS INC,HEDLUBI005BE,General Contractor,2,553620
HEVERLEY SERVICES LLC,HEVERSL917MF,General Contractor,2,225000
HIGHLAND DRIVE HOMES LLC,HIGHLDH744JT,General Contractor,2,3561400
HOLM ENTERPRISE LLC,HOLMEEL926PM,General Contractor,2,258318
HOME RENOVATION AC LLC,HOMERRA771N2,General Contractor,2,19133
HOME SERVICE SPECIALISTS,HOMESSS812B4,General Contractor,2,23000
HR SOLUTIONS LLC,HRSOLSL794O1,General Contractor,2,224558
IDEAL HOME REPAIR SERVICES LLC,IDEALHR769BZ,General Contractor,2,260376
IKKA CONSTRUCTION LLC,IKKACCL946KK,General Contractor,2,410373
IN DEVELOPMENT LLC,INDEVL*779D8,Single Family/Duplex,2,1228000
INFUSE DESIGN LLC,INFUSDL940CA,General Contractor,2,80000
INTERCRUS DECKS LLC,INTERDL762CW,General Contractor,2,21730
INTERIOR DREAM BUILDERS LLC,INTERDB812MU,General Contractor,2,218000
INTERNATIONAL BLDG INVEST INC,INTERBI900P8,General Contractor,2,325000
ISAC CONSTRUCTION LLC,ISACCCL801NM,General Contractor,2,103000
J & C Bergman Contracting LLC,JCBERBC912B7,General Contractor,2,1479623
J & M ROOFING CONTRACTOR LLC,JMROOMR788NJ,General Contractor,2,19000
J A MARKS CONSTRUCTION INC,JMARKMC788KL,General Contractor,2,180000
J HUNTER CONSTRUCTION LLC,JHUNTCL955M8,General Contractor,2,175000
JALEN WA LLC,JALENWL764C8,General Contractor,2,650000
JD MCDOWELL CONSTRUCTION LLC,JDMCDMC832JL,General Contractor,2,152750
JENKINS RESTORATIONS,JENKIR*788R1,General Contractor,2,41297
JOHANSEN CONSTRUCTION CO LLC,JOHANCC800KL,General Contractor,2,2215830
JOHNSTON BUILDING SERVICES LLC,JOHNSBS813CG,General Contractor,2,155000
JOY DEVELOPMENTS LLC,JOYDEDL872NA,General Contractor,2,80000
JOY INC,JOYINI*830PS,General Contractor,2,36000
JRJ DEVELOPMENT PROPERTIES LLC,JRJDEPL981PA,General Contractor,2,250235
JULIUS-STEWART CONST SERVS LLC,JULIUCS820DO,General Contractor,2,105000
K HUDSON CONSTRUCTION INC,KHUDSHC968K6,General Contractor,2,139065
K R C CUSTOM REMODELING,KRCCUR*970BW,General Contractor,2,45000
KAHLER & CO LLC,KAHLECL991BE,General Contractor,2,212000
KALEB KERR LLC,KALEBKL831CP,General Contractor,2,314664
KERWIN CONST & CONSULTING INC,KERWICC855PW,General Contractor,2,415000
KEY MAR GENERAL CONST LLC,KEYMAMG770MR,General Contractor,2,377214
KIERA CONSTRUCTION LLC,KIERACL964PF,General Contractor,2,775000
KIRTLEY-COLE ASSOCIATES LLC,KIRTLAL951BC,General Contractor,2,20000
KJ RENOVATIONS LLC,KJRENRL796KK,General Contractor,2,300000
KLIK DESIGN BUILD LLC,KLIKDDB786PM,General Contractor,2,191846
KNOCKING WOOD LLC,KNOCKWL804PK,General Contractor,2,22000
KROWN CONSTRUCTION LLC,KROWNCL954KD,General Contractor,2,380000
KTM CONSTRUCTION LLC,KTMCOCL814JW,General Contractor,2,14000
KULCHIN FOUNDATION DRILLING CO,KULCHFD995QB,General Contractor,2,485000
LAKE WASHINGTON WINDOWS/DOORS,LAKEWWW901K5,General Contractor,2,30500
LAKEVIEW DESIGN & CONST INC,LAKEVDC064P2,General Contractor,2,320273
LAMB CONTRACTING LLC,LAMBCCL801JA,General Contractor,2,196000
LB NEW LIFE LLC,LBNEWNL764MU,General Contractor,2,110000
LCM DESIGN & BUILD LLC,LCMDEDB793PN,General Contractor,2,30000
LEFTHAMMER CONSTRUCTION LLC,LEFTHCL798RO,General Contractor,2,500000
LEGACY DECKING LLC,LEGACDL775QP,General Contractor,2,13000
LEGACY DEVELOPMENTS LLC,LEGACDL776PP,General Contractor,2,31974
LEXAR HOMES,LEXARH*909QT,General Contractor,2,931510
LUNA HOMES NW INC,LUNAHHN798CJ,General Contractor,2,398175
LYD CONSTRUCTION,LYDCOC*782PR,General Contractor,2,230000
Legacy Construction Group LLC,LEGACCG860QR,General Contractor,2,24500
Lorrie Voigt,,Commercial,2,1600000
M BROWN INDUSTRIES LLC,MBROWBI935CO,General Contractor,2,15000
M J TAKISAKI INC,MJTAKI*123CA,General Contractor,2,1170000
MACENA DESIGN LLC,MACENDL802JF,General Contractor,2,26000
MALONE'S LANDSCAPE CNTRNG INC,MALONLC051BU,General Contractor,2,43209
MARCH MACDONALD INC,MARCHMI055BT,General Contractor,2,1119366
MARVIN REPLACEMENT LLC,MARVIRL790LA,General Contractor,2,28012
MASTER ROOM LLC,MASTERL823P9,General Contractor,2,290000
"MATAVA CONSTRUCTION, LLC",MATAVCL765OS,General Contractor,2,83690
MAXIMA CONSTRUCTION LLC,MAXIMCL780K6,General Contractor,2,274000
MCDOWELL NW PILE KING INC,MCDOWNP011QT,General Contractor,2,155000
MCLENDON HOME SERVICES,MCLENHS880JT,General Contractor,2,46168
MEAD CONTRACTING COMPANY,MEADCCC839RF,General Contractor,2,215000
MICHIGAN WOODS CONST INC,MICHIWC852RU,General Contractor,2,158164
MIDMOUNTAIN CONTRACTORS INC,MIDMOCI972OB,General Contractor,2,9200000
MIGHTY HOUSE CONSTRUCTION,MIGHTHC918DS,General Contractor,2,824000
MIKE BACHTOLD FLOORING,MIKEBBF843BE,General Contractor,2,195000
MIKEN CONSTRUCTION LLC,MIKENCL782C3,General Contractor,2,245528
MILLENNIUM GENERAL CONTRACTING,MILLEGC752BW,General Contractor,2,1030928
MODERN CONST AND REMODEL LLC,MODERCR854B7,General Contractor,2,33000
MODERN INTERIORS,MODERI*760RT,General Contractor,2,112500
MONTELLO DESIGN LLC,MONTEDL759KZ,General Contractor,2,700000
MRN HOMES LLC,MRNHOHL885BU,General Contractor,2,2151442
MT SQUARED CONSTRUCTION LLC,MTSQUSC783M6,General Contractor,2,27380
MTT Construction LLC,MTTCOCL866KT,General Contractor,2,321320
MacCoy Home Solutions LLC,MACCOHS867LZ,General Contractor,2,270000
Moon Construction Company,MOONCC*182N7,Multifamily,2,217189
N&R CONSTRUCTION LLC,NRCONCL962KR,General Contractor,2,529361
NEW DAY CONSTRUCTION LLC,NEWDADC823QR,General Contractor,2,138819
NEW DIMENSION INTERIORS INC,NEWDIII033BN,General Contractor,2,270494
NEW LIFE ROCKERIES LLC,NEWLILR818DA,General Contractor,2,65000
NEXT LEVEL CONTRACTING,NEXTLLC834LN,General Contractor,2,277100
NG GENERAL CONSTRUCTION LLC,NGGENGC792QT,General Contractor,2,234651
NOR DESIGN & CONSTRUCTION LLC,NORDEDC812O3,General Contractor,2,186506
NORTHWEST CONTOUR BLDG CO INC,NORTHCB870CK,General Contractor,2,620141
NW BUILDER GROUP LLC,NWBUIBG838NP,General Contractor,2,775000
NWGC,NWGC***754MP,General Contractor,2,307207
Northwest Roofing Systems Inc,NORTHRS887PH,General Contractor,2,110000
OASIS CONSTRUCTION GROUP INC,OASISCG844DH,General Contractor,2,116500
OFFER THE DEAL,OFFERD*763RJ,General Contractor,2,1220000
OLYMPIC MILLWORK LLC,OLYMPML816JJ,General Contractor,2,30000
ONNI BOREN AVE SEATTLE LLC,ONNIBBA781MO,General Contractor,2,383751
ONTIVITY LLC,ONTIVL*764J9,General Contractor,2,25001
PACIFIC EXTERIORS LLC,PACIFEL917NK,General Contractor,2,38638
PACIFIC PRO GROUP LLC,PACIFPG765OF,General Contractor,2,195000
PACIFIC RMDTN/RSTRTN LLC,PACIFRL841JM,General Contractor,2,176000
PACIFIC WEST CONST & MAINT LLC,PACIFWC905PQ,General Contractor,2,142627
PALMER CONST AND REMODEL LLC,PALMECR937JQ,General Contractor,2,315000
PARAMOUNT CONST GROUP LLC,PARAMCG869LK,General Contractor,2,273227
PAULSEN CONST SRVCS LLC,PAULSCS991NB,General Contractor,2,40000
PCM CONSTRUCTION LLC,PCMCOCL789RW,General Contractor,2,190000
PELLETIER CONSTRUCTION GRP LLC,PELLECG773DW,General Contractor,2,60000
PEREZCHICA VENTURES LLC,PEREZVL803QF,General Contractor,2,103767
PERGOMATIC LLC,PERGOL*760DH,Multifamily,2,101000
PETER DAVIS BUILDERS INC,PETERDB044BJ,General Contractor,2,285694
PETERSON WORKS LLC,PETERWL888JT,General Contractor,2,861072
PIONEER DEVELOPMENT CORP INC,PIONEDC840KL,General Contractor,2,25000
PIONEER MASONRY RSTRTN CO INC,PIONEMR126DJ,General Contractor,2,2097926
PIUS KITCHEN & BATH INC,PIUSKKB937P4,General Contractor,2,686290
PIVETTA BROTHERS CONST INC,PIVETBC063B9,General Contractor,2,579731
PLACES,PLACE**760PA,General Contractor,2,257478
PLANETA WORKS LLC,PLANEWL893KS,General Contractor,2,58000
PNW DEMOLITION,PNWDED*810MW,General Contractor,2,2015000
POE CONSTRUCTION INC,POECOI*247QZ,General Contractor,2,5967015
POLYMATH PROPERTIES LLC,POLYMPL825PS,General Contractor,2,820000
PORTER CONSTRUCTION INC I,PORTECI972JM,General Contractor,2,320000
PREM1ER LLC,PREM1L*814N1,General Contractor,2,766000
PRIME BUILDERS WA LLC,PRIMEBW770L1,General Contractor,2,11055
PROSPECT DECKS AND FENCES LLC,PROSPDF806OZ,General Contractor,2,28871
Phinney Ridge Painting LLC,PHINNRP899M6,General Contractor,2,51757
QUADRUS INC,QUADRI*055BS,General Contractor,2,21000
QUENTIN CONSTRUCTION LLC,QUENTCL966D6,General Contractor,2,631350
R E SIME CONSTRUCTION LLC,RESIMES900JB,General Contractor,2,185000
R W ANDERSON HOMES,RWANDWA902BJ,General Contractor,2,1025000
R W COOK ASSOCIATES INC,RWCOOWC823OO,General Contractor,2,330000
RAVEN BUILDING COMPANY LLC,RAVENBC910RC,General Contractor,2,161961
RAYNOR CONSTRUCTION LLC,RAYNOCL847L7,General Contractor,2,59000
REDHAWK HOMES LLC,REDHAHL832QN,General Contractor,2,4759807
REGENCY NW CONSTRUCTION INC,REGENNC041J5,General Contractor,2,730000
REMODELING CHAMBERS LLC,REMODCL821CK,General Contractor,2,139000
RENOVA CONTRACTORS,RENOVC*760NA,General Contractor,2,150000
RENOVISION DESIGN & BUILD LLC,RENOVDB768D7,General Contractor,2,241661
RESCOM RAILING SYSTEMS LLC,RESCORS834BZ,General Contractor,2,63000
RESCUERS DOWN UNDER LLC,RESCUDU771KW,General Contractor,2,119000
REYES & SONS CONSTRUCTION LLC,REYESSC818D9,General Contractor,2,130000
RKC CONSTRUCTION INC,RKCCOCI943PO,General Contractor,2,1190000
"ROBISON, P H",ROBISPH090NK,General Contractor,2,375000
ROBL DESIGN BUILD INC,ROBLDBI006DO,General Contractor,2,59146
ROCK HOUSE BUILDERS LLC,ROCKHHB780QA,General Contractor,2,848042
ROWAN CONSTRUCTION INC,ROWANCI981L4,General Contractor,2,265000
RTI SERVICES LLC,RTISESL878JA,General Contractor,2,73406
RUBICON PROFESSIONAL SVS LLC,RUBICPS905DB,General Contractor,2,528635
RWS CONSTRUCTION LLC,RWSCOCL836O9,General Contractor,2,1650000
SAL'S HOMES & REMODELS LLC,SALSHHR756PU,General Contractor,2,2238000
SALTWATR CORPORATION,SALTWC*742BL,General Contractor,2,830990
SAM-SON REMODELING SERVICE,SAMSORS964JO,General Contractor,2,278001
SANDRA'S FRESH START LLC,SANDRFS841J9,General Contractor,2,868613
SAVVY CABINETRY BY DESIGN,SAVVYCD821PB,General Contractor,2,405000
SCAN DESIGN BUILD,SCANDDB766RP,General Contractor,2,153388
SCARSELLA BROS INC,SCARSBI183B8,General Contractor,2,26000000
SCHWED REMODELING LLC,SCHWERL792RZ,General Contractor,2,105000
SEA-ANCHOR MARINE CONST LLC,SEAANMC783KL,General Contractor,2,45000
SEATTLE BUILDING & MGMT LLC,SEATTBM821MR,General Contractor,2,332684
SEATTLE BUILT LLC,SEATTBL800ND,General Contractor,2,937912
SEATTLE HOUSE REMODELING LLC,SEATTHR825J3,General Contractor,2,86650
SEATTLE MOBILE BUILDERS LLC,SEATTMB814KZ,General Contractor,2,875000
SEATTLE PROS FLRNG & RMD LLC,SEAPRPF774OL,General Contractor,2,329137
SEIDER WOODWORKING LLC,SEIDEWL795ND,General Contractor,2,140000
SENSIBLE BUILDER LLC,SENSIBL871J3,General Contractor,2,7415000
SERVICEMASTER OF SEATTLE,SERVIMS944L9,General Contractor,2,31000
SHEPHERD PROPERTIES PNW LLC,SHEPHPP761K4,General Contractor,2,176037
SHIREY HOME PRO,SHIREHP816MP,General Contractor,2,20000
SHOWTIME HOME RENOVATION LLC,SHOWTHR808DF,Single Family/Duplex,2,415505
SIDE-PRO INC,SIDEPI*008N1,General Contractor,2,95953
SKANSKA USA CVL WST CA DST INC,SKANSUC919MW,General Contractor,2,130620000
SL CONST INCORPORATING LLC,SLCONCI774KZ,General Contractor,2,18500
SNOWRIDGE REMODELING LLC,SNOWRRL882B4,General Contractor,2,194999
SOCKEYE HOMES,SOCKECC932L5,General Contractor,2,306290
SOLID REBUILD,SOLIDR*903O7,General Contractor,2,414964
SOUND CONSTRUCTION,SOUNDC*828J3,General Contractor,2,99000
SOUTH SOUND STRUCTURES LLC,SOUTHSS824KG,General Contractor,2,28000
SPD CONSTRUCTION SERVICES LLC,SPDCOCS832RA,General Contractor,2,105000
STABUILT LLC,STABUL*782LN,General Contractor,2,18788
STARR RESTORATION LLC,STARRRL773D7,General Contractor,2,47832
STATE ROOFING INC,STATERI101JW,General Contractor,2,26500
STEADFAST CONSTRUCTION INC,STEADCI984J7,General Contractor,2,1179967
STEELE CONSTRUCTION SRVCS LLC,STEELCS783C4,General Contractor,2,300000
STRINGHAM CUSTOM HOMES LLC,STRINCH897PU,General Contractor,2,54463
SUNBREAK HOMES LLC,SUNBRHL792O1,General Contractor,2,18000
SUNDE BUILDERS LLC,SUNDEBL893N2,General Contractor,2,445040
SUNDQUIST ENTERPRISES LLC,SUNDQEL774PW,General Contractor,2,374366
SYNAPSE CONSTRUCTION LLC,SYNAPCL916O3,General Contractor,2,46000
Steffen Deetjen,,Industrial,2,4330360
T4 RESTORATION & CNSLT SER LLC,T4RESRC830QM,General Contractor,2,975044
TALON ENTERPRISE INC,TALONEI066KW,General Contractor,2,360000
TANGENT CONSTRUCTION INC,TANGECI107C6,General Contractor,2,110757
TB CONSTRUCTION LLC,TBCONCL822DE,General Contractor,2,256860
TCHC LLC,TCHCLL*782J7,General Contractor,2,2207541
TCL PARTNERS CORPORATION,TCLPAPC919QD,General Contractor,2,1491000
TEN PENNY STUDIO,TENPEPS935OJ,General Contractor,2,276842
THIRD ARM CONSTRUCTION INC,THIRDAC853LS,General Contractor,2,810000
THRIVE HEATING & AIR LLC,THRIVHA767ME,General Contractor,2,426315
TIANCHENG LLC,TIANCL*779B3,General Contractor,2,50000
TLG GROUP LLC,TLGGRGL778OR,General Contractor,2,298304
TM CONSTRUCTION,TMCONC*891Q8,General Contractor,2,37800
TM NEW HOMES LLC,TMNEWNH975PO,General Contractor,2,1312389
TOM W CLARK CONSTRUCTION,TOMWCC*071M6,General Contractor,2,1245649
TONE'S REMODEL/WTRPRFNG LLC,TONESRL824QG,General Contractor,2,50000
TOOTH-N-NAIL,TOOTH**790L3,General Contractor,2,110000
TOP NOTCH BUILDERS LLC,TOPNONB762OL,General Contractor,2,430000
TOWNSEND CONSTRUCTION LLC,TOWNSCL761OW,General Contractor,2,230000
TP Home LLC,TPHOMHL848PF,General Contractor,2,52773
TRIPLE NET CONST SERV LLC,TRIPLNC780O8,General Contractor,2,565333
TULA LLC,TULALL*872Q6,General Contractor,2,65000
TWC DEVELOPMENT LLC,TWCDEDL957PU,General Contractor,2,725904
TWIGS & SPIT LLC,TWIGSSL872RF,General Contractor,2,165000
TY REMODEL CO.,TYREMRC813BZ,General Contractor,2,180762
TZUN CONSTRUCTION LLC,TZUNCCL785M2,General Contractor,2,293145
Tess Jordan,GASPACI055BS,Single Family/Duplex,2,306000
UNDERWOOD FINE CONSTRUCTION,UNDERFC835N1,General Contractor,2,1200000
UNIPLEX CONSTRUCTION LLC,UNIPLCL876L6,General Contractor,2,130700
UNITED INSTALLERS,UNITEI*803C7,General Contractor,2,1057214
UNITED SEATTLE LLC,UNITESL836P7,General Contractor,2,733833
UNIVERSAL REMODELING LLC,UNIVERL815PG,General Contractor,2,60800
VAL DESIGN STUDIO LLC,VALDEDS799QR,General Contractor,2,90000
VALENCIA CON GRP CORP,VALENCG802ON,General Contractor,2,783083
VERTICAL GRAIN BUILDERS,VERTIGB760JS,General Contractor,2,195468
VIKING CONSTRUCTION GROUP,VIKINCG837LT,General Contractor,2,390000
VIO DESIGN BUILD LLC,VIODEDB903OA,General Contractor,2,70000
VIVA JUANITA,VIVAJJ*906RB,General Contractor,2,63969
Vivid Development LLC,VIVIDDL801B4,Single Family/Duplex,2,791736
WALEN CONSTRUCTION LLC,WALENCL816BP,General Contractor,2,514176
WALT KANE CONSTRUCTION LLC,WALTKKC793M7,General Contractor,2,288379
WASHINGTON ENERGY SVCS CO LLC,WASHIES851NS,General Contractor,2,17200
WAYNE'S ROOFING INC,WAYNESR205Q5,General Contractor,2,2500000
WEAVER CONSTRUCTION LLC,WEAVECL816O5,General Contractor,2,195003
WEBER DESIGN BUILD LLC,WEBERDB858L9,General Contractor,2,258024
WES CONSTRUCTION,WESCOC*916DT,General Contractor,2,1250000
WESTCOAST VENTURES LLC,WESTCVL772P4,General Contractor,2,1204084
WESTERN SPECIALTY CONTRACTORS,WESTESC851RN,General Contractor,2,82500
WESTERN VENTURES CONST INC,WESTEVC179KB,General Contractor,2,1033000
WESTROCK CONSTRUCTION LLC,WESTRCL814QK,General Contractor,2,462508
WOLF INDUSTRIES INC,WOLFIII921BD,General Contractor,2,12165
WOMBLE CORPORATION,WOMBLC*132KE,General Contractor,2,80000
WOODRIDGE CONSTRUCTION LLC,WOODRCL958CD,General Contractor,2,195000
WORKS LANDSCAPE CONST LLC,WORKSLC781P8,General Contractor,2,38248
WU CONSTRUCTION INC WA,WUCONCI892Q9,General Contractor,2,175000
Wyser Construction Co Inc,WYSERCI045N9,General Contractor,2,400000
ZEN DEVELOPMENT LLC,ZENDEDL873PS,General Contractor,2,106500
ZUMA CONTRACTING SERVICES LLC,ZUMACCS803MN,General Contractor,2,101000
1ST PROSERVICE LLC,1STPRPL807JS,General Contractor,1,500000
2112 HOMES LLC,2112HHL770OL,General Contractor,1,50000
2J CONSTRUCTION LLC,2JCONCL793N3,General Contractor,1,36704
2M RESIDENTIAL LLC,2MRESRL777QL,General Contractor,1,41942
2S DESIGN LLC,2SDESDL825M5,General Contractor,1,50000
360 HOUSE REMODELING LLC,360HOHR762BR,General Contractor,1,30000
4 CONSTRUCTION ELEMENTS CORP,4CONSCE841N2,General Contractor,1,688146
48TH DESIGN LLC,48THDDL766KT,General Contractor,1,177727
4R BUILDERS INC,4RBUIBI771KD,General Contractor,1,250000
A & D CONSTRUCTION SRVCS INC,ADCONCS936BU,General Contractor,1,10000
A & H SEPTIC SYS MATERIALS INC,AHSEPSM090JA,General Contractor,1,20000
A & J RETAINING WALLS,AJRETW*984R7,General Contractor,1,87075
A & R Construction,ARCONC*872RP,General Contractor,1,4500
A D MASTER CONSTRUCTION LLC,ADMASMC771RR,General Contractor,1,50000
A&R SOLAR,RSOLAS*825P9,General Contractor,1,85141
A-Z CONSTRUCTION SOLUTIONS LLC,AZCONCS948C7,General Contractor,1,11623
A. SANDERS CONSTRUCTION LLC,ASANDSC921OK,General Contractor,1,15000
A1 CONTRACTORS LLC,A1CONCL743DK,General Contractor,1,425000
AA Roofing & Decking LLC,AAROORD797KC,General Contractor,1,107452
AAA BUILDERS LLC,AAABUBL772RG,General Contractor,1,9000
AAMEX INC,AAMEXI*832LZ,General Contractor,1,242661
AARON CONTRACTOR LLC,AARONCL783N9,General Contractor,1,44879
ABODE CONTRACTING INC,ABODECI931JW,General Contractor,1,150000
ACCEL BUILDING & REMODELING,ACCELBR759BG,General Contractor,1,40000
ACCO ENGINEERED SYSTEMS INC,ACCOESI971DU,General Contractor,1,400000
ACG BUILDS INC,ACGBUBI793QN,General Contractor,1,1500000
ACS SEATTLE LLC,ACSSESL922BT,General Contractor,1,81000
ACT CONSTRUCTION,ACTCOC*860N6,General Contractor,1,453775
ADAMS BROTHERS CONSTRUCTN LLC,ADAMSBC885L1,General Contractor,1,20000
ADVANCED HOME REPAIRS CORP,ADVANHR833QL,General Contractor,1,8000
ADVANCED HOMES CNSTRTN LLC,ADVANHC783J2,General Contractor,1,88000
ADVANTAGE CONTRACTORS INC,ADVANCI903MM,General Contractor,1,10000
AFTER THE FIRE LLC,AFTERFL914KG,General Contractor,1,95700
AGAPE BUILT LLC,AGAPEBL770CZ,General Contractor,1,100000
AIRGAS USA LLC,AIRGAUL873C7,General Contractor,1,186000
AJS RENOVATION AND CONST,AJSRERC966O1,General Contractor,1,180000
ALEX HIGH QUALITY CONST LLC,ALEXHHQ785QQ,General Contractor,1,95000
ALIN'S CONSTRUCTION LLC,ALINSCL797CD,General Contractor,1,10000
ALL AROUND HERNANDEZ CONST LLC,ALLARAH801C6,General Contractor,1,75000
ALL INCLUSIVE CRAFTSMANSHIP,ALLINIC770NM,General Contractor,1,19000
ALL STAR POOL & SPA INC,ALLSTPS003JM,General Contractor,1,128093
ALPE LLC,ALPELL*785PJ,General Contractor,1,35000
ALPHA TECHNOLOGIES SRVCS INC,ALPHATS969NS,General Contractor,1,10000
ALPINE HOME BUILDERS LLC,ALPINHB754O9,General Contractor,1,75000
ALPINE RIDGE CONSTRUCTION INC,ALPINRC103K2,General Contractor,1,100000
ALTA DC LLC,ALTADDL774NW,General Contractor,1,54000
AMAYA BUILDER LLC,AMAYABL779ON,General Contractor,1,251193
AMAZING DECKS IN SEATTLE LLC,AMAZIDS787QM,General Contractor,1,9311
AMBIZ LLC,AMBIZL*761CG,General Contractor,1,25500
AMCON INC,AMCONI*796C5,General Contractor,1,200000
AMLIN HOME REPAIR INC,AMLINHR812PN,General Contractor,1,12000
AMO CONSTRUCTION LLC,AMOCOCL943KD,General Contractor,1,20000
AMORES CONSTRUCTION LLC,AMORECL761OP,General Contractor,1,15000
ANCHOR CONSTRUCTION LLC,ANCHOCL886PU,General Contractor,1,104020
ANCHOR GENERAL CONTRACTOR LLC,ANCHOGC761PU,General Contractor,1,70000
ANDERSON FAMILY CNSTRCTN LLC,ANDERFC750JS,General Contractor,1,7000
ANGELIQUE CONSTRUCTION,ANGELC*075NB,General Contractor,1,75000
ANGLE STONE LLC,ANGLESL835KW,General Contractor,1,15000
ANNING-JOHNSON COMPANY,ANNINC*984KB,General Contractor,1,20000
AP CUSTOM LLC,APCUSCL797OB,General Contractor,1,90000
AP RENOVATION LLC,APRENRL752C6,General Contractor,1,220000
APB LLC,APBLLL*759CC,General Contractor,1,5261
APERTURE CONSTRUCTION LLC,APERTCL850OW,General Contractor,1,7500
APL CONSTRUCTION,APLCOC*755LC,General Contractor,1,30000
AQUA DIVE SERVICES LLC,AQUADDS864KB,General Contractor,1,355895
ARCON,ARCON**792JG,General Contractor,1,350000
ARK REMODELING INC,ARKRERI848KQ,General Contractor,1,30000
ARKA REMODELING LLC,ARKARRL761CG,General Contractor,1,77309
ARNON CONSTRUCTION  LLC,ARNONCL821OE,General Contractor,1,200987
ARRIVE HOME LLC,ARRIVHL774B6,General Contractor,1,7463
ARTHUR BUILDING CO,ARTHUBC814NO,General Contractor,1,12000
ARTISAN CRAFT CONST GROUP INC,ARTISCC759KG,General Contractor,1,150000
ARTOUSH CONST & REMODELING LLC,ARTOUCR970CM,Single Family/Duplex,1,250000
AS CONTRACTOR LLC,ASCONCL805MO,General Contractor,1,250000
ASCENTUS,ASCEN**907CC,General Contractor,1,50000
AT&G BUILT LLC,GBUILBL801DZ,General Contractor,1,50000
ATLAS CUSTOM FRAMING INC,ATLASCF902D6,General Contractor,1,30000
AVA DESIGN BUILD INC,AVADEBI972OH,General Contractor,1,94000
AVALON NW LANDSCAPE LLC,AVALONL917L6,General Contractor,1,50000
AVALON PROJECT INC,AVALOPI860M4,General Contractor,1,600000
AVE GENERAL CONTRACTORS LLC,AVEGEGC781M7,General Contractor,1,20000
AVVISA CONST & REMODELING,AVVISCR770O6,General Contractor,1,210531
AWARD CONSTRUCTION INC,AWARDCI970M9,General Contractor,1,80000
AWNINGS BY DESIGN NW,AWNINDN773LL,General Contractor,1,38000
AXIA BUILT,AXIABB*75374,General Contractor,1,150000
Agile Development LLC,AGILEDL920RB,General Contractor,1,750000
Amalfi Construction,AMALFC*849O3,General Contractor,1,60000
Artistic Home Renovations LLC,ARTISHR909LM,General Contractor,1,2000
Avara Construction,AVARACI824BR,Commercial,1,150000
B Paul,,Single Family/Duplex,1,12000
B&G REMODEL,BGREMR*776MM,General Contractor,1,60000
B-Z CONSTRUCTION,BZCONC*760CK,General Contractor,1,3000
BAKER CONSTRUCTION & DEV INC,BAKERCD066CZ,General Contractor,1,587676
BALDNER SERVICES LLC,BALDNSL762RF,General Contractor,1,184613
BALLARD CONSTRUCTION INC,BALLACI851QS,General Contractor,1,2800000
BALLARD REUSE LLC,BALLARL865L4,General Contractor,1,10000
BARRIER CONTRACTING LLC,BARRICL773D7,General Contractor,1,35000
BAYSIDE HOME IMPRVMNT WA LLC,BAYSIHI765NM,General Contractor,1,45000
BE CONSTRUCTIVE,BECONC*794NT,General Contractor,1,35000
BEAR CONSTRUCTION GROUP INC,BEARCCG782JO,General Contractor,1,69199
BEAU SITZMANN LLC,BEAUSSL827N7,General Contractor,1,80000
BELL'S CONSTRUCTION,BELLSC*798PJ,General Contractor,1,149560
BELLA'S FLOORING LLC,BELLAFL837RK,General Contractor,1,30000
BELLO HOME SOLUTIONS LLC,BELLOHS783L8,General Contractor,1,45000
BELLO REPAIR & REMODEL LLC,BELLORR817OL,General Contractor,1,35000
BELLSHIRE HOMES INC,BELLSHL764BE,General Contractor,1,15000
BETTER BUILT BARNS INC,BETTEBB922LO,General Contractor,1,12939
