contractor_name,license_number,specialty,permit_count,total_project_value
Tang Real Estate Invst Corp,TANGRRE851QP,General Contractor,12,6141093
UNIMARK CONSTRUCTION LLC,UNIMACL801B4,General Contractor,12,8976263
AG CONSTRUCTION & RMDLNG LLC,AGCONCR786K5,General Contractor,11,1046480
ALDRICH & ASSOCIATES INC,ALDRIA*202RU,General Contractor,11,10845473
BAKLINSKI HOME IMPROVEMENT,BAKLIHI801DJ,General Contractor,11,385500
BELFOR USA GROUP INC,BELFOUG990BJ,General Contractor,11,1582143
CHARTER CONST LLC,CHARTCL776J5,General Contractor,11,10011691
DANG CONSTRUCTION LLC,DANGCCL837PJ,General Contractor,11,2867210
GS CONSTRUCTION PNW LLC,GSCONCP779NT,General Contractor,11,145913412
HOFFMAN CONSTRUCTION CO OF WA,HOFFMCC164NC,General Contractor,11,38598149
HOLLAND CONSTRUCTION INC,HOLLACI952DJ,General Contractor,11,344046966
INNOVATIVE HOME RENOVATNS LLC,INNOVHR834N5,General Contractor,11,1719722
J & ART CONTRACTORS LLC,JARTCAC830C7,General Contractor,11,1250653
JABOODA CONSTRUCTION INC,JABOOCI806RT,General Contractor,11,11390144
JP REMODELING | RENOVTIONS LLC,JPREMRR787CP,General Contractor,11,184203
KARLSTROM ASSOCIATES,KARLSA*791D5,General Contractor,11,1359632
Noble Homes LLC,NOBLEHL864DU,General Contractor,11,6957841
ROYAL FAMILY CONSTRUCTION INC,ROYALFC774KW,General Contractor,11,1208174
SCHUCHART CORPORATION,SCHUCC*121NC,General Contractor,11,9343915
WESTWOOD CONSTRUCTION LLC,WESTWCL830OE,General Contractor,11,12688664
ANGELL CONSTRUCTION LLC,ANGELCL851BE,General Contractor,10,672055
APPROACH BUILD LLC,APPROBL821BQ,General Contractor,10,5244433
BLUE SKY PAINTING & CONST LLC,BLUESSP821CL,Single Family/Duplex,10,360594
BUCK TIDE CONSTRUCTION LLC,BUCKTTC832BT,General Contractor,10,1874460
CARLISLE CLASSIC HOMES LLC,CARLICH981RL,General Contractor,10,1992620
CENTENNIAL CONTRACTORS ENT INC,CENTECE004KK,General Contractor,10,1236926
DOUCETTE ENTERPRISES LLC,DOUCEEL937DA,General Contractor,10,3392260
FORMA CONSTRUCTION COMPANY,FORMACC878OR,General Contractor,10,1415689
FORRISTER CONTRACTING LLC,FORRICL837CW,General Contractor,10,3631919
GREAT DAY IMPROVEMENTS LLC,GREATDI799DJ,General Contractor,10,237700
M R J CONSTRUCTORS LLC,MRJCOL*011CW,General Contractor,10,2532084
MALLET INC,MALLEI*012DB,General Contractor,10,1845495
MCKINSTRY STAUFFER YANG CONST,MCKINSY781JO,General Contractor,10,3102520
PACIFIC NORTHWEST RSTRTN1 LLC,PACIFNR784JD,General Contractor,10,1068624
RHINO CO LLC,RHINOCL836C3,General Contractor,10,1686316
STRUXURE OUTDOOR OF WASHINGTON,STRUXOW812MB,General Contractor,10,200000
TBH STERLING INC,TBHSTSI833CM,General Contractor,10,1604665
AINSLIE DAVIS CONSTRUCTION INC,AINSLDC066DW,General Contractor,9,1826213
ALI'S BUILDING & CNSLTNG INC,ALISBBC785OK,General Contractor,9,2182280
BETACOM INCORPORATED,BETACI*828MR,General Contractor,9,75510
CADRE GENERAL CONTRACTORS LLC,CADREGC806MH,General Contractor,9,1814913
CLADDAGH CONSTRUCTION INC,CLADDCI044LM,General Contractor,9,1508243
CMAC LLC,CMACLL*920MM,General Contractor,9,2533933
COMPLETE CONST & REMODEL LLC,COMPLCR802BZ,General Contractor,9,2043101
FULLER LIVING CONSTRUCTION LLC,FULLELC855CD,General Contractor,9,1596000
HITT CONTRACTING INC,HITTCCI863PM,General Contractor,9,5151100
L C M BUILDERS LLC,LCMBUCM872PT,General Contractor,9,1291197
MORINA HOMES CORP,MORINHC840RE,General Contractor,9,4842373
NICE BUILDING CORP,NICEBBC818L5,General Contractor,9,2565781
NXTGEN HOME PROS LLC,NXTGEHP757D1,General Contractor,9,564000
SK SOLUTIONSS LLC,SKSOLSL780PF,General Contractor,9,892175
TATLEY-GRUND INC,TATLEGI099MN,General Contractor,9,2230233
ARMADA DESIGN & BUILD INC,ARMADDB898R3,General Contractor,8,640017
BALLARD BACKYARD COTTAGES LLC,BALLABC817MJ,General Contractor,8,1165523
Bruce Company,BRUCEC*892C8,Commercial,8,1190000
CASTELLO DESIGN BUILD LLC,CASTEDB806LJ,General Contractor,8,835780
CHERRY DESIGN + BUILD LLC,CHERRDB958DB,General Contractor,8,736534
CHINN CONSTRUCTION LLC,CHINNCL000DS,General Contractor,8,128045516
COMMERICAL PROPERTY MAINT,COMMEPM784KF,General Contractor,8,4325392
DOCHNAHL CONSTRUCTION INC,DOCHNC*241R9,General Contractor,8,445000
DOVETAIL GENERAL CONTRS LLC,DOVETGC895PU,General Contractor,8,7798241
EMERALD CITY GREEN BLDRS INC,EMERACG940KN,General Contractor,8,1897439
Golden Coast Cnst/Rst/NW Inc,GOLDECC809P1,General Contractor,8,1668085
KOHL CONST & REMODELING INC,KOHLCRI033RP,General Contractor,8,855819
LAKESIDE MARINE CONST LLC,LAKESMC784RM,General Contractor,8,186670
LOCKHART-SUVER LLC,LOCKHL*962O8,General Contractor,8,3679611
LOKEN CONSTRUCTION CO,LOKENCC993J6,General Contractor,8,3170654
LYDIG CONSTRUCTION INC,LYDIGC*264JC,General Contractor,8,206666934
MORENO LS LLC,MORENLL794J6,General Contractor,8,217500
New Generation BUILDS LLC,NEWGEGB782P5,General Contractor,8,1686926
PAPPAS GENERAL CONTRACTING LLC,PAPPAGC750CK,General Contractor,8,1186861
PATHWAY DESIGN & CONSTRUCTION,PATHWDC927LP,General Contractor,8,1780478
PHOENIX CONSTRUCTION INC,PHOENCI099KL,General Contractor,8,1514467
PRAXIS BUILDERS LLC,PRAXIBL847QT,General Contractor,8,3365281
RUBICON CONSTRUCTION LLC,RUBICCL834KB,General Contractor,8,453999
SCHULTE CONSTRUCTION LLC,SCHULCL993RM,General Contractor,8,1398323
SEABORN PILE DRIVING COMPANY,SEABOPD942CG,General Contractor,8,1110457
SEVEN HILLS DESIGN LLC,SEVENHD947J1,General Contractor,8,997309
Swett Equity LLC,SWETTEL805NR,Single Family/Duplex,8,4223692
TALAKAI CONSTRUCTION LLC,TALAKCL891CP,General Contractor,8,217000
TREND DEVELOPMENT & DSGN LLC,TRENDDD907BO,General Contractor,8,3512276
W G CLARK CONSTRUCTION CO,WGCLAC*370N0,General Contractor,8,26904999
WISE CHOICE CONSTRUCTION LLC,WISECCC813NB,General Contractor,8,564800
AMAZING CONSTRUCTION LLC,AMAZICL763OW,General Contractor,7,1782110
BICKNELL BUILDS LLC,BICKNBL824P9,General Contractor,7,1516872
BLUE WATER DESIGN BUILD LLC,BLUEWWD932MO,General Contractor,7,1025000
CAMBIUM INC,CAMBII*020KG,General Contractor,7,412000
CAS CONSTRUCTION SOLUTIONS LLC,CASCOCS833OK,General Contractor,7,918245
CLISE AGENCY INC,CLISEAI072JA,General Contractor,7,3016000
Corvid General Contractors LLC,CORVIGC888BD,General Contractor,7,1068972
DEMOLITION MAN INC,DEMOLMI178N2,General Contractor,7,26850
